Emma	63194	11	F	293
Norman	22194	11	M	299.588
Ray	81194	11	M	299.444
Don	16194	10	M	285.312
Gilda	65194	10	F	284
Nat	30294	9	M	266.929
Anna	48194	9	F	272.538
Thoma	55294	7	M	258.2
Lani	54294	7	M	222.778
Conny	48294	6	F	143.25
Dominic	7294	6	M	194
Jemima	31394	5	M	159.4
Rossi	50394	5	F	140.5
Ivet	59294	5	M	131
Chris	70394	5	M	135
Alicia	71394	5	F	186.833
Mark	79294	5	M	151.667
Phil	34394	4	M	242.75
Shelly	74394	4	F	206.25
Maya	42394	4	F	174.25
Naila	53394	4	F	177.5
Hans	82394	4	M	182.5
Jasper	4394	4	M	171.5
Eugene	46394	4	M	159.25
Vivian	55394	3	F	138.5
Damdin	57394	3	M	129
Tom	66394	3	M	135
Nina	77394	3	F	141.5
Chamberlain	85394	3	M	128.5
Carol	53494	1	F	89
